rank,name,position,team,bye_week,projected_fantasy_points,tier,adp,projection_method,team_conflict,source,ranking_basis
306,Trevor Etienne,RB,CAR,5,15.0,5,299.74,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
306,British Brooks,RB,HOU,8,2.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
307,Aaron Rodgers,QB,PIT,9,218.0,5,299.75,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
308,Audric Estime,RB,NO,8,35.0,5,299.78,adp_estimate,False,Local ADP estimate,season_projection
309,Jarquez Hunter,RB,LAR,11,35.0,5,299.79,adp_estimate,False,Local ADP estimate,season_projection
309,Kene Nwangwu,RB,NYJ,13,2.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
309,Jordan Whittington,WR,LAR,11,34.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
310,Josh Oliver,TE,MIN,6,29.5,5,299.79,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
312,Michael Carter,RB,TEN,9,35.0,5,299.81,adp_estimate,False,Local ADP estimate,season_projection
312,Zavion Thomas,WR,CHI,10,30.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
313,Max Bredeson,RB,MIN,6,7.5,5,299.82,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
314,Skyler Bell,WR,BUF,7,35.5,5,299.82,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
315,Odell Beckham Jr.,WR,NYG,8,28.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
316,Keenan Allen,WR,LAC,7,35.0,5,299.83,adp_estimate,False,Local ADP estimate,season_projection
317,Hollywood Brown,WR,PHI,10,35.0,5,299.83,adp_estimate,False,Local ADP estimate,season_projection
317,Devontez Walker,WR,BAL,13,29.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
318,Evan Engram,TE,DEN,10,82.5,5,299.85,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
318,Tyler Higbee,TE,LAR,11,30.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
319,J'Mari Taylor,RB,JAX,7,35.0,5,299.85,adp_estimate,False,Local ADP estimate,season_projection
320,Eli Heidenreich,RB,PIT,9,35.0,5,299.86,adp_estimate,False,Local ADP estimate,season_projection
321,Cade Otton,TE,TB,10,79.5,5,299.87,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
321,Dylan Laube,RB,LV,13,1.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
322,Xavier Hutchinson,WR,HOU,8,28.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
323,Alec Ingold,RB,LAC,7,12.0,5,299.87,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
324,David Njoku,TE,LAC,7,60.5,5,299.88,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
324,Rasheen Ali,RB,BAL,13,35.0,5,,adp_estimate,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
325,Dont'e Thornton Jr.,WR,LV,13,26.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
325,Seth McGowan,RB,IND,13,14.0,5,299.88,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
326,Clyde Edwards-Helaire,RB,,N/A,35.0,5,299.88,adp_estimate,False,Local ADP estimate,season_projection
327,Jacob Saylors,RB,DET,6,35.0,5,,adp_estimate,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
328,Olamide Zaccheaus,WR,ATL,11,25.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
328,Isaac Guerendo,RB,SF,8,1.0,5,299.9,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
329,Darnell Washington,TE,PIT,9,56.5,5,299.9,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
330,Fernando Mendoza,QB,LV,13,187.0,5,299.9,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
330,DeeJay Dallas,RB,JAX,7,35.0,5,,adp_estimate,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
330,Eli Raridon,TE,NE,11,29.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
331,Pat Freiermuth,TE,PIT,9,106.0,5,299.9,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
332,Marvin Mims Jr.,WR,DEN,10,58.0,5,299.91,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
333,Josh Williams,RB,TB,10,35.0,5,,adp_estimate,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
333,Jake Tonges,TE,SF,8,26.5,5,299.91,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
334,Christian Kirk,WR,SF,8,38.0,5,299.91,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
335,Chris Brazzell II,WR,CAR,5,35.0,5,299.91,adp_estimate,False,Local ADP estimate,season_projection
335,Konata Mumpfield,WR,LAR,11,24.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
336,Roman Wilson,WR,PIT,9,35.0,5,299.92,adp_estimate,False,Local ADP estimate,season_projection
336,Charlie Kolar,TE,LAC,7,28.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
337,Graig Cooper,RB,,N/A,35.0,5,299.93,adp_estimate,False,Local ADP estimate,season_projection
338,Miles Davis,RB,CAR,5,35.0,5,299.93,adp_estimate,False,Local ADP estimate,season_projection
339,Michael Burton,RB,CLE,11,8.0,5,299.93,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
340,Brittain Brown,RB,CHI,10,35.0,5,299.93,adp_estimate,False,Local ADP estimate,season_projection
341,Pierre Strong Jr.,RB,GB,11,35.0,5,299.93,adp_estimate,False,Local ADP estimate,season_projection
342,Bryce Lance,WR,NO,8,34.0,5,299.93,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
342,Mitchell Evans,TE,CAR,5,27.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
343,Jabari Small,RB,DET,6,35.0,5,299.93,adp_estimate,False,Local ADP estimate,season_projection
343,KeAndre Lambert-Smith,WR,LAC,7,22.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
344,Tyler Badie,RB,DEN,10,15.0,5,299.93,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
345,Mack Hollins,WR,NE,11,22.5,5,299.94,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
346,Kyle T. Williams,WR,NE,11,20.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
346,Nathan Carter,RB,ATL,11,35.0,5,299.94,adp_estimate,False,Local ADP estimate,season_projection
347,Desmond Reid,RB,,N/A,35.0,5,299.94,adp_estimate,False,Local ADP estimate,season_projection
348,Jahan Dotson,WR,ATL,11,60.5,5,299.94,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
348,Cade Stover,TE,HOU,8,27.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
348,Tez Johnson,WR,TB,10,18.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
349,Joshua Palmer,WR,BUF,7,35.0,5,299.94,adp_estimate,False,Local ADP estimate,season_projection
350,KaVontae Turpin,WR,DAL,14,58.0,5,299.95,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
351,Jimmy Horn Jr.,WR,CAR,5,17.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
352,Theo Johnson,TE,NYG,8,50.0,5,299.95,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
353,Eli Stowers,TE,PHI,10,31.0,5,299.95,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
354,Mitchell Tinsley,WR,CIN,6,16.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
354,Colby Parkinson,TE,LAR,11,53.0,5,299.95,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
354,John Bates,TE,WAS,7,26.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
356,Tua Tagovailoa,QB,ATL,11,115.0,5,299.96,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
356,Calvin Austin III,WR,NYG,8,15.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
358,Kye Robichaux,RB,DET,6,35.0,5,299.96,adp_estimate,False,Local ADP estimate,season_projection
359,Jalen Royals,WR,KC,5,14.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
359,Kyle Williams,WR,NE,11,35.0,5,299.96,adp_estimate,False,Local ADP estimate,season_projection
361,Cam Akers,RB,,N/A,35.0,5,299.96,adp_estimate,False,Local ADP estimate,season_projection
361,Anthony Gould,WR,IND,13,14.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
363,Jaleel McLaughlin,RB,DEN,10,35.0,5,299.97,adp_estimate,False,Local ADP estimate,season_projection
364,Devaughn Vele,WR,NO,8,48.5,5,299.97,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
364,Greg Dortch,WR,DET,6,14.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
365,Zamir White,RB,LV,13,35.0,5,299.97,adp_estimate,False,Local ADP estimate,season_projection
366,Kirk Cousins,QB,LV,13,46.0,5,299.97,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
366,Tanner Hudson,TE,CIN,6,22.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
367,Brenen Thompson,WR,LAC,7,22.0,5,299.98,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
368,J.J. McCarthy,QB,MIN,6,40.0,5,299.98,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
369,Xavier Legette,WR,CAR,5,91.0,5,299.98,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
369,Malik Benson,WR,LV,13,13.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
370,Isaiah Bond,WR,CLE,11,25.0,5,299.98,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
372,Isaiah Williams,WR,NYJ,13,12.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
372,Adam Trautman,TE,DEN,10,23.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
374,Bo Melton,WR,GB,11,10.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
377,Ben Skowronek,WR,PIT,9,9.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
378,Luke Schoonmaker,TE,DAL,14,22.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
380,Derius Davis,WR,LAC,7,10.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
382,Xavier Smith,WR,LAR,11,10.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
384,Jackson Hawes,TE,BUF,7,21.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
385,Tyrell Shavers,WR,BUF,7,9.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
387,Colbie Young,WR,CIN,6,8.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
390,Mo Alie-Cox,TE,IND,13,21.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
390,Barion Brown,WR,NO,8,8.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
393,CJ Daniels,WR,LAR,11,8.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
395,Malachi Corley,WR,CLE,11,8.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
396,Daniel Bellinger,TE,TEN,9,20.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
398,Demarcus Robinson,WR,SF,8,7.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
400,Tai Felton,WR,MIN,6,7.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
402,Ben Sinnott,TE,WAS,7,21.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
403,Jahdae Walker,WR,CHI,10,7.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
406,Justin Watson,WR,HOU,8,7.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
408,Jeremy Ruckert,TE,NYJ,13,19.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
408,Darius Cooper,WR,PHI,10,6.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
411,Jonathan Mingo,WR,DAL,14,6.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
413,Laquon Treadwell,WR,IND,13,6.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
414,Luke Musgrave,TE,GB,11,18.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
416,Brycen Tremayne,WR,CAR,5,6.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
419,Reggie Virgil,WR,ARI,14,6.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
420,Durham Smythe,TE,BAL,13,19.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
421,Kaden Wetjen,WR,PIT,9,7.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
424,Cedric Tillman,WR,CLE,11,5.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
426,Davis Allen,TE,LAR,11,16.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
426,Kameron Johnson,WR,TB,10,4.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
429,Arian Smith,WR,NYJ,13,4.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
432,Braxton Berrios,WR,NYG,8,2.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
432,Foster Moreau,TE,HOU,8,15.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
434,Charlie Jones,WR,CIN,6,2.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
437,Myles Price,WR,MIN,6,2.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
438,Nate Adkins,TE,DEN,10,15.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
439,LaJohntay Wester,WR,BAL,13,2.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
442,Britain Covey,WR,PHI,10,2.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
444,Brock Wright,TE,DET,6,15.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
445,JuJu Smith-Schuster,WR,NYG,8,1.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
447,Nikko Remigio,WR,KC,5,1.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
450,Jacob Cowing,WR,SF,8,1.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
450,Nate Boerkircher,TE,JAX,7,14.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
452,Ke'Shawn Williams,WR,CIN,6,1.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
455,Devin Duvernay,WR,ARI,14,1.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
456,Payne Durham,TE,TB,10,14.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
458,Gage Larvadain,WR,CLE,11,1.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
460,Mason Tipton,WR,NO,8,1.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
462,Joe Royer,TE,CLE,11,12.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
463,Efton Chism III,WR,NE,11,1.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
465,Skyy Moore,WR,GB,11,35.0,5,,adp_estimate,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
468,Dareke Young,WR,LV,13,35.0,5,,adp_estimate,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
468,Ben Sims,TE,MIA,6,11.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
471,Josh Cameron,WR,JAX,7,35.0,5,,adp_estimate,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
473,Jalen Brooks,WR,ARI,14,35.0,5,,adp_estimate,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
474,Luke Farrell,TE,SF,8,8.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
476,Michael Bandy,WR,DEN,10,35.0,5,,adp_estimate,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
478,Jeshaun Jones,WR,MIN,6,35.0,5,,adp_estimate,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
480,Max Klare,TE,LAR,11,8.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
481,Mason Kinsey,WR,TEN,9,35.0,5,,adp_estimate,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
486,Justin Joly,TE,DEN,10,8.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
492,Brevyn Spann-Ford,TE,DAL,14,7.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
