rank,name,position,team,bye_week,projected_fantasy_points,tier,adp,projection_method,team_conflict,source,ranking_basis
54,Davante Adams,WR,LAR,11,199.0,2,54.23,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
55,Jaylen Waddle,WR,DEN,10,174.5,2,54.55,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
56,Bhayshul Tuten,RB,JAX,7,188.0,2,55.69,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
57,Terry McLaurin,WR,WAS,7,178.0,2,56.52,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
58,DJ Moore,WR,BUF,7,176.5,2,59.77,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
59,Tyler Warren,TE,IND,13,165.0,2,60.21,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
60,Jameson Williams,WR,DET,6,177.0,2,61.66,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
61,Christian Watson,WR,GB,11,158.5,3,62.36,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
62,Jadarian Price,RB,SEA,11,180.5,3,62.38,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
63,Jalen Hurts,QB,PHI,10,321.0,3,62.55,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
64,Mike Evans,WR,SF,8,154.5,3,65.24,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
65,Jaylen Warren,RB,PIT,9,168.0,3,68.13,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
66,Rome Odunze,WR,CHI,10,183.5,3,69.2,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
67,Caleb Williams,QB,CHI,10,282.0,3,69.73,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
68,Tony Pollard,RB,TEN,9,175.0,3,70.51,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
69,Tucker Kraft,TE,GB,11,138.0,3,71.21,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
70,Rhamondre Stevenson,RB,NE,11,172.0,3,72.04,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
71,RJ Harvey,RB,DEN,10,142.5,3,72.93,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
72,Rico Dowdle,RB,PIT,9,170.5,3,73.96,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
73,Chuba Hubbard,RB,CAR,5,162.5,3,74.32,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
74,J.K. Dobbins,RB,DEN,10,163.5,3,76.62,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
75,Carnell Tate,WR,TEN,9,172.0,3,77.66,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
76,Justin Herbert,QB,LAC,7,282.0,3,77.69,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
77,Kyle Monangai,RB,CHI,10,163.0,3,80.51,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
78,Blake Corum,RB,LAR,11,150.5,3,82.03,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
79,Brian Thomas Jr.,WR,JAX,7,147.5,3,82.37,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
80,Marvin Harrison Jr.,WR,ARI,14,159.5,3,83.96,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
81,Harold Fannin Jr.,TE,CLE,11,145.5,3,84.89,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
82,Trevor Lawrence,QB,JAX,7,287.0,3,84.93,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
83,Alec Pierce,WR,IND,13,169.5,3,88.21,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
84,DK Metcalf,WR,PIT,9,162.5,3,90.71,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
85,Courtland Sutton,WR,DEN,10,169.5,3,91.01,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
86,Michael Wilson,WR,ARI,14,141.5,3,91.37,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
87,Jacory Croskey-Merritt,RB,WAS,7,144.5,3,92.77,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
88,Kenny Gainwell,RB,TB,10,152.0,3,93.38,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
89,Jordyn Tyson,WR,NO,8,154.0,3,94.07,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
90,Jonathon Brooks,RB,CAR,5,146.5,3,94.51,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
91,Jordan Mason,RB,MIN,6,123.5,3,94.61,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
92,Aaron Jones Sr.,RB,MIN,6,165.5,3,94.72,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
93,Parker Washington,WR,JAX,7,155.0,3,94.86,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
94,Dak Prescott,QB,DAL,14,287.0,3,97.41,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
95,Rachaad White,RB,WAS,7,150.5,3,98.58,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
96,Kyle Pitts Sr.,TE,ATL,11,145.0,3,100.01,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
97,Sam LaPorta,TE,DET,6,150.0,3,102.81,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
98,Chris Godwin Jr.,WR,TB,10,128.0,3,104.31,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
99,Quentin Johnston,WR,LAC,7,138.5,3,107.04,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
100,Makai Lemon,WR,PHI,10,143.5,3,108.58,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
101,Jaxson Dart,QB,NYG,8,301.0,4,109.87,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
102,Woody Marks,RB,HOU,8,116.0,4,112.24,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
103,Tyler Allgeier,RB,ARI,14,82.0,4,113.83,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
104,Jordan Addison,WR,MIN,6,140.0,4,115.43,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
105,Jakobi Meyers,WR,JAX,7,147.0,4,115.53,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
106,Chris Rodriguez Jr.,RB,JAX,7,69.0,4,117.84,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
107,Michael Pittman Jr.,WR,PIT,9,153.0,4,118.31,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
108,Zach Charbonnet,RB,SEA,11,124.0,4,118.52,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
109,Wan'Dale Robinson,WR,TEN,9,134.5,4,120.85,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
110,Tyrone Tracy Jr.,RB,NYG,8,79.0,4,121.03,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
111,Jayden Reed,WR,GB,11,139.5,4,123.32,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
113,Brian Robinson Jr.,RB,ATL,11,89.5,4,132.74,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
114,Xavier Worthy,WR,KC,5,145.5,4,133.11,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
115,Josh Downs,WR,IND,13,133.5,4,135.46,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
117,George Kittle,TE,SF,8,142.0,4,139.57,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
118,Alvin Kamara,RB,NO,8,109.5,4,139.79,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
119,Dalton Kincaid,TE,BUF,7,126.5,4,143.06,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
121,Isiah Pacheco,RB,DET,6,115.5,4,146.22,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
123,Brock Purdy,QB,SF,8,292.0,4,147.76,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
124,Tank Bigsby,RB,PHI,10,62.0,4,150.23,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
125,Romeo Doubs,WR,NE,11,132.0,4,150.33,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
126,Keaton Mitchell,RB,LAC,7,58.0,4,151.86,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
127,Tyjae Spears,RB,TEN,9,124.0,4,152.4,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
129,Jayden Higgins,WR,HOU,8,113.5,4,156.68,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
130,Brandon Aubrey,K,DAL,14,153.0,4,158.09,published,False,https://www.fantasypros.com/nfl/projections/k.php?week=draft,season_projection
131,Patrick Mahomes II,QB,KC,5,290.0,4,159.09,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
132,Jonah Coleman,RB,DEN,10,34.5,4,161.2,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
135,Isaiah Likely,TE,NYG,8,124.0,4,164.7,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
136,Cameron Dicker,K,LAC,7,144.1,4,168.35,published,False,https://www.fantasypros.com/nfl/projections/k.php?week=draft,season_projection
137,KC Concepcion,WR,CLE,11,131.5,4,169.01,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
138,Travis Kelce,TE,KC,5,140.0,4,169.42,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
139,Dylan Sampson,RB,CLE,11,72.0,4,170.1,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
140,Ka'imi Fairbairn,K,HOU,8,144.5,4,170.83,published,False,https://www.fantasypros.com/nfl/projections/k.php?week=draft,season_projection
141,Jason Myers,K,SEA,11,150.4,4,172.5,published,False,https://www.fantasypros.com/nfl/projections/k.php?week=draft,season_projection
143,Khalil Shakir,WR,BUF,7,136.0,4,173.13,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
144,Matthew Golden,WR,GB,11,152.5,4,173.61,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
147,Rashid Shaheed,WR,SEA,11,122.5,4,178.98,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
148,Jalen Coker,WR,CAR,5,118.5,4,179.08,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
149,Bo Nix,QB,DEN,10,295.0,4,180.7,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
150,Matthew Stafford,QB,LAR,11,293.0,4,186.28,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
151,Eddy Pineiro,K,SF,8,132.6,4,187.2,published,False,https://www.fantasypros.com/nfl/projections/k.php?week=draft,season_projection
152,Braelon Allen,RB,NYJ,13,69.5,4,187.33,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
154,Stefon Diggs,WR,,N/A,98.0,4,190.95,adp_estimate,False,Local ADP estimate,season_projection
155,Deebo Samuel Sr.,WR,SF,8,144.5,4,192.77,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
156,Mark Andrews,TE,BAL,13,141.0,4,195.98,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
158,Jauan Jennings,WR,MIN,6,92.0,4,197.43,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
159,James Conner,RB,ARI,14,55.0,4,201.18,adp_estimate,False,Local ADP estimate,season_projection
160,Dallas Goedert,TE,PHI,10,142.0,4,203.73,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
162,Emanuel Wilson,RB,SEA,11,9.5,5,217.42,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
163,Jared Goff,QB,DET,6,268.0,5,219.32,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
164,Jerry Jeudy,WR,CLE,11,112.5,5,220.07,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
165,Sean Tucker,RB,TB,10,36.0,5,220.16,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
166,Emmett Johnson,RB,KC,5,42.0,5,220.21,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
167,Harrison Mevis,K,LAR,11,136.9,5,221.18,published,False,https://www.fantasypros.com/nfl/projections/k.php?week=draft,season_projection
168,Denver Broncos D/ST,DST,DEN,10,8.3,5,,published,False,https://www.fantasypros.com/nfl/projections/dst.php?week=1,week_1_matchup_projection
